rec_id_jahr_wk,UUID,jahr,Nr,Gebiet,gehört zu,Kategorie,Name_Kategorie,Erst-Stimmen,Zweit-Stimmen
,2017-02316,2017,047,Hannover-Land II,BL-03,Organisation,FREIE WÄHLER,1691,822
,2017-02317,2017,047,Hannover-Land II,BL-03,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,1556
,2017-02318,2017,047,Hannover-Land II,BL-03,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-02319,2017,047,Hannover-Land II,BL-03,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1679
,2017-02320,2017,047,Hannover-Land II,BL-03,Organisation,Bayernpartei,0,0
,2017-02321,2017,047,Hannover-Land II,BL-03,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-02322,2017,047,Hannover-Land II,BL-03,Organisation,Partei der Vernunft,0,0
,2017-02323,2017,047,Hannover-Land II,BL-03,Organisation,Marxistisch-Leninistische Partei Deutschlands,0,66
,2017-02324,2017,047,Hannover-Land II,BL-03,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-02325,2017,047,Hannover-Land II,BL-03,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-02326,2017,047,Hannover-Land II,BL-03,Organisation,DIE RECHTE,0,0
,2017-02327,2017,047,Hannover-Land II,BL-03,Organisation,Allianz Deutscher Demokraten,0,0
,2017-02328,2017,047,Hannover-Land II,BL-03,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-02329,2017,047,Hannover-Land II,BL-03,Organisation,"bergpartei, die überpartei",0,0
,2017-02330,2017,047,Hannover-Land II,BL-03,Organisation,Bündnis Grundeinkommen,0,250
,2017-02331,2017,047,Hannover-Land II,BL-03,Organisation,DEMOKRATIE IN BEWEGUNG,0,312
,2017-02332,2017,047,Hannover-Land II,BL-03,Organisation,Deutsche Kommunistische Partei,0,34
,2017-02333,2017,047,Hannover-Land II,BL-03,Organisation,Deutsche Mitte,0,396
,2017-02334,2017,047,Hannover-Land II,BL-03,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-02335,2017,047,Hannover-Land II,BL-03,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-02336,2017,047,Hannover-Land II,BL-03,Organisation,Magdeburger Gartenpartei,0,0
,2017-02337,2017,047,Hannover-Land II,BL-03,Organisation,Menschliche Welt,0,0
,2017-02338,2017,047,Hannover-Land II,BL-03,Organisation,Partei der Humanisten,0,0
,2017-02339,2017,047,Hannover-Land II,BL-03,Organisation,Partei für Gesundheitsforschung,0,0
,2017-02340,2017,047,Hannover-Land II,BL-03,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,237
,2017-02341,2017,047,Hannover-Land II,BL-03,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-02342,2017,047,Hannover-Land II,BL-03,Organisation,DIE EINHEIT,0,0
,2017-02343,2017,047,Hannover-Land II,BL-03,Organisation,Die Violetten,0,0
,2017-02344,2017,047,Hannover-Land II,BL-03,Organisation,Familien-Partei Deutschlands,0,0
,2017-02345,2017,047,Hannover-Land II,BL-03,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-02346,2017,047,Hannover-Land II,BL-03,Organisation,Mieterpartei,0,0
,2017-02347,2017,047,Hannover-Land II,BL-03,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-02348,2017,047,Hannover-Land II,BL-03,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-02349,2017,047,Hannover-Land II,BL-03,Organisation,Übrige,0,0
2017-048,2017-02350,2017,048,Hildesheim,BL-03,Statistik,Wahlberechtigte,218349,218349
,2017-02351,2017,048,Hildesheim,BL-03,Statistik,Wähler,169613,169613
,2017-02352,2017,048,Hildesheim,BL-03,Statistik,Ungültige,1752,1316
,2017-02353,2017,048,Hildesheim,BL-03,Statistik,Gültige,167861,168297
,2017-02354,2017,048,Hildesheim,BL-03,Organisation,Christlich Demokratische Union Deutschlands,60457,54871
,2017-02355,2017,048,Hildesheim,BL-03,Organisation,Sozialdemokratische Partei Deutschlands,62448,52077
,2017-02356,2017,048,Hildesheim,BL-03,Organisation,DIE LINKE,8502,10932
,2017-02357,2017,048,Hildesheim,BL-03,Organisation,BÜNDNIS 90/DIE GRÜNEN,12691,14806
,2017-02358,2017,048,Hildesheim,BL-03,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-02359,2017,048,Hildesheim,BL-03,Organisation,Freie Demokratische Partei,9330,13876
,2017-02360,2017,048,Hildesheim,BL-03,Organisation,Alternative für Deutschland,14433,15695
,2017-02361,2017,048,Hildesheim,BL-03,Organisation,Piratenpartei Deutschland,0,593
,2017-02362,2017,048,Hildesheim,BL-03,Organisation,Nationaldemokratische Partei Deutschlands,0,468
,2017-02363,2017,048,Hildesheim,BL-03,Organisation,FREIE WÄHLER,0,453
,2017-02364,2017,048,Hildesheim,BL-03,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,1693
,2017-02365,2017,048,Hildesheim,BL-03,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-02366,2017,048,Hildesheim,BL-03,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1445
,2017-02367,2017,048,Hildesheim,BL-03,Organisation,Bayernpartei,0,0
,2017-02368,2017,048,Hildesheim,BL-03,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-02369,2017,048,Hildesheim,BL-03,Organisation,Partei der Vernunft,0,0
,2017-02370,2017,048,Hildesheim,BL-03,Organisation,Marxistisch-Leninistische Partei Deutschlands,0,56
,2017-02371,2017,048,Hildesheim,BL-03,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-02372,2017,048,Hildesheim,BL-03,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-02373,2017,048,Hildesheim,BL-03,Organisation,DIE RECHTE,0,0
,2017-02374,2017,048,Hildesheim,BL-03,Organisation,Allianz Deutscher Demokraten,0,0
,2017-02375,2017,048,Hildesheim,BL-03,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-02376,2017,048,Hildesheim,BL-03,Organisation,"bergpartei, die überpartei",0,0
,2017-02377,2017,048,Hildesheim,BL-03,Organisation,Bündnis Grundeinkommen,0,320
,2017-02378,2017,048,Hildesheim,BL-03,Organisation,DEMOKRATIE IN BEWEGUNG,0,304
,2017-02379,2017,048,Hildesheim,BL-03,Organisation,Deutsche Kommunistische Partei,0,32
,2017-02380,2017,048,Hildesheim,BL-03,Organisation,Deutsche Mitte,0,305
,2017-02381,2017,048,Hildesheim,BL-03,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-02382,2017,048,Hildesheim,BL-03,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-02383,2017,048,Hildesheim,BL-03,Organisation,Magdeburger Gartenpartei,0,0
,2017-02384,2017,048,Hildesheim,BL-03,Organisation,Menschliche Welt,0,0
,2017-02385,2017,048,Hildesheim,BL-03,Organisation,Partei der Humanisten,0,0
,2017-02386,2017,048,Hildesheim,BL-03,Organisation,Partei für Gesundheitsforschung,0,0
,2017-02387,2017,048,Hildesheim,BL-03,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,221
,2017-02388,2017,048,Hildesheim,BL-03,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-02389,2017,048,Hildesheim,BL-03,Organisation,DIE EINHEIT,0,0
,2017-02390,2017,048,Hildesheim,BL-03,Organisation,Die Violetten,0,0
,2017-02391,2017,048,Hildesheim,BL-03,Organisation,Familien-Partei Deutschlands,0,0
,2017-02392,2017,048,Hildesheim,BL-03,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-02393,2017,048,Hildesheim,BL-03,Organisation,Mieterpartei,0,0
,2017-02394,2017,048,Hildesheim,BL-03,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-02395,2017,048,Hildesheim,BL-03,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-02396,2017,048,Hildesheim,BL-03,Organisation,Übrige,0,0
2017-049,2017-02397,2017,049,Salzgitter – Wolfenbüttel,BL-03,Statistik,Wahlberechtigte,206133,206133
,2017-02398,2017,049,Salzgitter – Wolfenbüttel,BL-03,Statistik,Wähler,157046,157046
,2017-02399,2017,049,Salzgitter – Wolfenbüttel,BL-03,Statistik,Ungültige,1567,1327
,2017-02400,2017,049,Salzgitter – Wolfenbüttel,BL-03,Statistik,Gültige,155479,155719
,2017-02401,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Christlich Demokratische Union Deutschlands,45310,45985
,2017-02402,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Sozialdemokratische Partei Deutschlands,66587,50482
,2017-02403,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,DIE LINKE,9290,11266
,2017-02404,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,BÜNDNIS 90/DIE GRÜNEN,6680,10213
,2017-02405,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-02406,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Freie Demokratische Partei,7268,12450
,2017-02407,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Alternative für Deutschland,18564,19115
,2017-02408,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Piratenpartei Deutschland,1335,684
,2017-02409,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Nationaldemokratische Partei Deutschlands,0,606
,2017-02410,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,FREIE WÄHLER,0,531
,2017-02411,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,1591
,2017-02412,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-02413,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1557
,2017-02414,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Bayernpartei,0,0
,2017-02415,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-02416,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Partei der Vernunft,0,0
,2017-02417,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Marxistisch-Leninistische Partei Deutschlands,0,74
,2017-02418,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-02419,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-02420,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,DIE RECHTE,0,0
,2017-02421,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Allianz Deutscher Demokraten,0,0
,2017-02422,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-02423,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,"bergpartei, die überpartei",0,0
,2017-02424,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Bündnis Grundeinkommen,0,207
,2017-02425,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,DEMOKRATIE IN BEWEGUNG,0,197
,2017-02426,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Deutsche Kommunistische Partei,0,31
,2017-02427,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Deutsche Mitte,0,430
,2017-02428,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-02429,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-02430,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Magdeburger Gartenpartei,0,0
,2017-02431,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Menschliche Welt,0,0
,2017-02432,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Partei der Humanisten,0,0
,2017-02433,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Partei für Gesundheitsforschung,0,0
,2017-02434,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,183
,2017-02435,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-02436,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,DIE EINHEIT,0,0
,2017-02437,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Die Violetten,0,0
,2017-02438,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Familien-Partei Deutschlands,0,0
,2017-02439,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-02440,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Mieterpartei,0,0
,2017-02441,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-02442,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-02443,2017,049,Salzgitter – Wolfenbüttel,BL-03,Organisation,Übrige,445,0
2017-050,2017-02444,2017,050,Braunschweig,BL-03,Statistik,Wahlberechtigte,192041,192041
,2017-02445,2017,050,Braunschweig,BL-03,Statistik,Wähler,147712,147712
,2017-02446,2017,050,Braunschweig,BL-03,Statistik,Ungültige,1362,1055
,2017-02447,2017,050,Braunschweig,BL-03,Statistik,Gültige,146350,146657
,2017-02448,2017,050,Braunschweig,BL-03,Organisation,Christlich Demokratische Union Deutschlands,45881,42534
,2017-02449,2017,050,Braunschweig,BL-03,Organisation,Sozialdemokratische Partei Deutschlands,55641,38695
,2017-02450,2017,050,Braunschweig,BL-03,Organisation,DIE LINKE,11145,13673
,2017-02451,2017,050,Braunschweig,BL-03,Organisation,BÜNDNIS 90/DIE GRÜNEN,11761,17295
,2017-02452,2017,050,Braunschweig,BL-03,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-02453,2017,050,Braunschweig,BL-03,Organisation,Freie Demokratische Partei,7877,14684
,2017-02454,2017,050,Braunschweig,BL-03,Organisation,Alternative für Deutschland,11377,12268
,2017-02455,2017,050,Braunschweig,BL-03,Organisation,Piratenpartei Deutschland,0,905
,2017-02456,2017,050,Braunschweig,BL-03,Organisation,Nationaldemokratische Partei Deutschlands,0,308
,2017-02457,2017,050,Braunschweig,BL-03,Organisation,FREIE WÄHLER,0,413
,2017-02458,2017,050,Braunschweig,BL-03,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,1423
,2017-02459,2017,050,Braunschweig,BL-03,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-02460,2017,050,Braunschweig,BL-03,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,2698
,2017-02461,2017,050,Braunschweig,BL-03,Organisation,Bayernpartei,0,0
,2017-02462,2017,050,Braunschweig,BL-03,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-02463,2017,050,Braunschweig,BL-03,Organisation,Partei der Vernunft,0,0
,2017-02464,2017,050,Braunschweig,BL-03,Organisation,Marxistisch-Leninistische Partei Deutschlands,344,130
,2017-02465,2017,050,Braunschweig,BL-03,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-02466,2017,050,Braunschweig,BL-03,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-02467,2017,050,Braunschweig,BL-03,Organisation,DIE RECHTE,0,0
,2017-02468,2017,050,Braunschweig,BL-03,Organisation,Allianz Deutscher Demokraten,0,0
,2017-02469,2017,050,Braunschweig,BL-03,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-02470,2017,050,Braunschweig,BL-03,Organisation,"bergpartei, die überpartei",0,0
,2017-02471,2017,050,Braunschweig,BL-03,Organisation,Bündnis Grundeinkommen,0,394
,2017-02472,2017,050,Braunschweig,BL-03,Organisation,DEMOKRATIE IN BEWEGUNG,0,390
,2017-02473,2017,050,Braunschweig,BL-03,Organisation,Deutsche Kommunistische Partei,0,30
,2017-02474,2017,050,Braunschweig,BL-03,Organisation,Deutsche Mitte,0,298
,2017-02475,2017,050,Braunschweig,BL-03,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-02476,2017,050,Braunschweig,BL-03,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-02477,2017,050,Braunschweig,BL-03,Organisation,Magdeburger Gartenpartei,0,0
,2017-02478,2017,050,Braunschweig,BL-03,Organisation,Menschliche Welt,0,0
,2017-02479,2017,050,Braunschweig,BL-03,Organisation,Partei der Humanisten,0,0
,2017-02480,2017,050,Braunschweig,BL-03,Organisation,Partei für Gesundheitsforschung,0,0
,2017-02481,2017,050,Braunschweig,BL-03,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,296
,2017-02482,2017,050,Braunschweig,BL-03,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-02483,2017,050,Braunschweig,BL-03,Organisation,DIE EINHEIT,0,0
,2017-02484,2017,050,Braunschweig,BL-03,Organisation,Die Violetten,0,0
,2017-02485,2017,050,Braunschweig,BL-03,Organisation,Familien-Partei Deutschlands,0,0
,2017-02486,2017,050,Braunschweig,BL-03,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-02487,2017,050,Braunschweig,BL-03,Organisation,Mieterpartei,0,0
,2017-02488,2017,050,Braunschweig,BL-03,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-02489,2017,050,Braunschweig,BL-03,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-02490,2017,050,Braunschweig,BL-03,Organisation,Übrige,2324,0
2017-051,2017-02491,2017,051,Helmstedt – Wolfsburg,BL-03,Statistik,Wahlberechtigte,183961,183961
,2017-02492,2017,051,Helmstedt – Wolfsburg,BL-03,Statistik,Wähler,137303,137303
,2017-02493,2017,051,Helmstedt – Wolfsburg,BL-03,Statistik,Ungültige,1471,1291
,2017-02494,2017,051,Helmstedt – Wolfsburg,BL-03,Statistik,Gültige,135832,136012
,2017-02495,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Christlich Demokratische Union Deutschlands,47416,47037
,2017-02496,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Sozialdemokratische Partei Deutschlands,51646,40740
,2017-02497,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,DIE LINKE,8128,9050
,2017-02498,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,BÜNDNIS 90/DIE GRÜNEN,6096,8064
,2017-02499,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-02500,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Freie Demokratische Partei,7791,10988
,2017-02501,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Alternative für Deutschland,13857,14862
,2017-02502,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Piratenpartei Deutschland,0,592
,2017-02503,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Nationaldemokratische Partei Deutschlands,0,623
,2017-02504,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,FREIE WÄHLER,0,455
,2017-02505,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,1307
,2017-02506,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-02507,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1229
,2017-02508,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Bayernpartei,0,0
,2017-02509,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-02510,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Partei der Vernunft,0,0
,2017-02511,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Marxistisch-Leninistische Partei Deutschlands,152,82
,2017-02512,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-02513,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-02514,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,DIE RECHTE,0,0
,2017-02515,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Allianz Deutscher Demokraten,0,0
,2017-02516,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-02517,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,"bergpartei, die überpartei",0,0
,2017-02518,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Bündnis Grundeinkommen,0,138
,2017-02519,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,DEMOKRATIE IN BEWEGUNG,0,141
,2017-02520,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Deutsche Kommunistische Partei,0,36
,2017-02521,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Deutsche Mitte,0,276
,2017-02522,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-02523,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-02524,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Magdeburger Gartenpartei,0,0
,2017-02525,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Menschliche Welt,0,0
,2017-02526,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Partei der Humanisten,0,0
,2017-02527,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Partei für Gesundheitsforschung,0,0
,2017-02528,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,194
,2017-02529,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-02530,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,DIE EINHEIT,0,0
,2017-02531,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Die Violetten,0,0
,2017-02532,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Familien-Partei Deutschlands,0,0
,2017-02533,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-02534,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Mieterpartei,0,0
,2017-02535,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-02536,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-02537,2017,051,Helmstedt – Wolfsburg,BL-03,Organisation,Übrige,746,0
2017-052,2017-02538,2017,052,Goslar – Northeim – Osterode,BL-03,Statistik,Wahlberechtigte,202963,202963
,2017-02539,2017,052,Goslar – Northeim – Osterode,BL-03,Statistik,Wähler,150977,150977
,2017-02540,2017,052,Goslar – Northeim – Osterode,BL-03,Statistik,Ungültige,1605,1187
,2017-02541,2017,052,Goslar – Northeim – Osterode,BL-03,Statistik,Gültige,149372,149790
,2017-02542,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Christlich Demokratische Union Deutschlands,59391,48131
,2017-02543,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Sozialdemokratische Partei Deutschlands,51953,48016
,2017-02544,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,DIE LINKE,8525,9521
,2017-02545,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,BÜNDNIS 90/DIE GRÜNEN,8128,9929
,2017-02546,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-02547,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Freie Demokratische Partei,7438,13734
,2017-02548,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Alternative für Deutschland,13937,15132
,2017-02549,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Piratenpartei Deutschland,0,426
,2017-02550,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Nationaldemokratische Partei Deutschlands,0,595
,2017-02551,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,FREIE WÄHLER,0,513
,2017-02552,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,1512
,2017-02553,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-02554,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1246
,2017-02555,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Bayernpartei,0,0
,2017-02556,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-02557,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Partei der Vernunft,0,0
,2017-02558,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Marxistisch-Leninistische Partei Deutschlands,0,36
,2017-02559,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-02560,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-02561,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,DIE RECHTE,0,0
,2017-02562,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Allianz Deutscher Demokraten,0,0
,2017-02563,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-02564,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,"bergpartei, die überpartei",0,0
,2017-02565,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Bündnis Grundeinkommen,0,199
,2017-02566,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,DEMOKRATIE IN BEWEGUNG,0,173
,2017-02567,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Deutsche Kommunistische Partei,0,27
,2017-02568,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Deutsche Mitte,0,329
,2017-02569,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-02570,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-02571,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Magdeburger Gartenpartei,0,0
,2017-02572,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Menschliche Welt,0,0
,2017-02573,2017,052,Goslar – Northeim – Osterode,BL-03,Organisation,Partei der Humanisten,0,0
