UUID;Jahr;Wahlkreis-Nr;Gebiet;Bundesland;Kategorie;Parteiname;Erst-Stimmen
2017-03206;2017;64;Cottbus – Spree-Neiße;BL-12;Organisation;Alternative für Deutschland;32776
2017-03248;2017;65;Elbe-Elster – Oberspreewald-Lausitz II;BL-12;Organisation;Sozialdemokratische Partei Deutschlands;20142
2017-03252;2017;65;Elbe-Elster – Oberspreewald-Lausitz II;BL-12;Organisation;Freie Demokratische Partei;6492
2017-03249;2017;65;Elbe-Elster – Oberspreewald-Lausitz II;BL-12;Organisation;DIE LINKE;19583
2017-03251;2017;65;Elbe-Elster – Oberspreewald-Lausitz II;BL-12;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03247;2017;65;Elbe-Elster – Oberspreewald-Lausitz II;BL-12;Organisation;Christlich Demokratische Union Deutschlands;35633
2017-03250;2017;65;Elbe-Elster – Oberspreewald-Lausitz II;BL-12;Organisation;BÜNDNIS 90/DIE GRÜNEN;3543
2017-03253;2017;65;Elbe-Elster – Oberspreewald-Lausitz II;BL-12;Organisation;Alternative für Deutschland;29830
2017-03342;2017;66;Altmark;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;20900
2017-03346;2017;66;Altmark;BL-15;Organisation;Freie Demokratische Partei;7388
2017-03343;2017;66;Altmark;BL-15;Organisation;DIE LINKE;20973
2017-03345;2017;66;Altmark;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03341;2017;66;Altmark;BL-15;Organisation;Christlich Demokratische Union Deutschlands;35644
2017-03344;2017;66;Altmark;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;3738
2017-03347;2017;66;Altmark;BL-15;Organisation;Alternative für Deutschland;18031
2017-03389;2017;67;Börde – Jerichower Land;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;29174
2017-03393;2017;67;Börde – Jerichower Land;BL-15;Organisation;Freie Demokratische Partei;11080
2017-03390;2017;67;Börde – Jerichower Land;BL-15;Organisation;DIE LINKE;29616
2017-03392;2017;67;Börde – Jerichower Land;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03388;2017;67;Börde – Jerichower Land;BL-15;Organisation;Christlich Demokratische Union Deutschlands;55110
2017-03391;2017;67;Börde – Jerichower Land;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;3540
2017-03394;2017;67;Börde – Jerichower Land;BL-15;Organisation;Alternative für Deutschland;0
2017-03436;2017;68;Harz;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;24767
2017-03440;2017;68;Harz;BL-15;Organisation;Freie Demokratische Partei;6923
2017-03437;2017;68;Harz;BL-15;Organisation;DIE LINKE;27104
2017-03439;2017;68;Harz;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03435;2017;68;Harz;BL-15;Organisation;Christlich Demokratische Union Deutschlands;51386
2017-03438;2017;68;Harz;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;4462
2017-03441;2017;68;Harz;BL-15;Organisation;Alternative für Deutschland;22792
2017-03483;2017;69;Magdeburg;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;34877
2017-03487;2017;69;Magdeburg;BL-15;Organisation;Freie Demokratische Partei;10796
2017-03484;2017;69;Magdeburg;BL-15;Organisation;DIE LINKE;30299
2017-03486;2017;69;Magdeburg;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03482;2017;69;Magdeburg;BL-15;Organisation;Christlich Demokratische Union Deutschlands;44021
2017-03485;2017;69;Magdeburg;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;6417
2017-03488;2017;69;Magdeburg;BL-15;Organisation;Alternative für Deutschland;24509
2017-03530;2017;70;Dessau – Wittenberg;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;14806
2017-03534;2017;70;Dessau – Wittenberg;BL-15;Organisation;Freie Demokratische Partei;6051
2017-03531;2017;70;Dessau – Wittenberg;BL-15;Organisation;DIE LINKE;22086
2017-03533;2017;70;Dessau – Wittenberg;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03529;2017;70;Dessau – Wittenberg;BL-15;Organisation;Christlich Demokratische Union Deutschlands;42781
2017-03532;2017;70;Dessau – Wittenberg;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;5607
2017-03535;2017;70;Dessau – Wittenberg;BL-15;Organisation;Alternative für Deutschland;23520
2017-03577;2017;71;Anhalt;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;18687
2017-03581;2017;71;Anhalt;BL-15;Organisation;Freie Demokratische Partei;9213
2017-03578;2017;71;Anhalt;BL-15;Organisation;DIE LINKE;30757
2017-03580;2017;71;Anhalt;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03576;2017;71;Anhalt;BL-15;Organisation;Christlich Demokratische Union Deutschlands;45843
2017-03579;2017;71;Anhalt;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;2854
2017-03582;2017;71;Anhalt;BL-15;Organisation;Alternative für Deutschland;32281
2017-03624;2017;72;Halle;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;32053
2017-03628;2017;72;Halle;BL-15;Organisation;Freie Demokratische Partei;10131
2017-03625;2017;72;Halle;BL-15;Organisation;DIE LINKE;30530
2017-03627;2017;72;Halle;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03623;2017;72;Halle;BL-15;Organisation;Christlich Demokratische Union Deutschlands;40690
2017-03626;2017;72;Halle;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;5475
2017-03629;2017;72;Halle;BL-15;Organisation;Alternative für Deutschland;26018
2017-03671;2017;73;Burgenland – Saalekreis;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;16930
2017-03675;2017;73;Burgenland – Saalekreis;BL-15;Organisation;Freie Demokratische Partei;8538
2017-03672;2017;73;Burgenland – Saalekreis;BL-15;Organisation;DIE LINKE;21819
2017-03674;2017;73;Burgenland – Saalekreis;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03670;2017;73;Burgenland – Saalekreis;BL-15;Organisation;Christlich Demokratische Union Deutschlands;43254
2017-03673;2017;73;Burgenland – Saalekreis;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;3198
2017-03676;2017;73;Burgenland – Saalekreis;BL-15;Organisation;Alternative für Deutschland;30112
2017-03718;2017;74;Mansfeld;BL-15;Organisation;Sozialdemokratische Partei Deutschlands;20864
2017-03722;2017;74;Mansfeld;BL-15;Organisation;Freie Demokratische Partei;11091
2017-03719;2017;74;Mansfeld;BL-15;Organisation;DIE LINKE;24863
2017-03721;2017;74;Mansfeld;BL-15;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03717;2017;74;Mansfeld;BL-15;Organisation;Christlich Demokratische Union Deutschlands;42725
2017-03720;2017;74;Mansfeld;BL-15;Organisation;BÜNDNIS 90/DIE GRÜNEN;3647
2017-03723;2017;74;Mansfeld;BL-15;Organisation;Alternative für Deutschland;32864
2017-03812;2017;75;Berlin-Mitte;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;35036
2017-03816;2017;75;Berlin-Mitte;BL-11;Organisation;Freie Demokratische Partei;9017
2017-03813;2017;75;Berlin-Mitte;BL-11;Organisation;DIE LINKE;30492
2017-03815;2017;75;Berlin-Mitte;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03811;2017;75;Berlin-Mitte;BL-11;Organisation;Christlich Demokratische Union Deutschlands;27654
2017-03814;2017;75;Berlin-Mitte;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;26781
2017-03817;2017;75;Berlin-Mitte;BL-11;Organisation;Alternative für Deutschland;11782
2017-03859;2017;76;Berlin-Pankow;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;30509
2017-03863;2017;76;Berlin-Pankow;BL-11;Organisation;Freie Demokratische Partei;7890
2017-03860;2017;76;Berlin-Pankow;BL-11;Organisation;DIE LINKE;53618
2017-03862;2017;76;Berlin-Pankow;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03858;2017;76;Berlin-Pankow;BL-11;Organisation;Christlich Demokratische Union Deutschlands;36429
2017-03861;2017;76;Berlin-Pankow;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;26376
2017-03864;2017;76;Berlin-Pankow;BL-11;Organisation;Alternative für Deutschland;22487
2017-03906;2017;77;Berlin-Reinickendorf;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;31882
2017-03910;2017;77;Berlin-Reinickendorf;BL-11;Organisation;Freie Demokratische Partei;9688
2017-03907;2017;77;Berlin-Reinickendorf;BL-11;Organisation;DIE LINKE;10384
2017-03909;2017;77;Berlin-Reinickendorf;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03905;2017;77;Berlin-Reinickendorf;BL-11;Organisation;Christlich Demokratische Union Deutschlands;49654
2017-03908;2017;77;Berlin-Reinickendorf;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;10647
2017-03911;2017;77;Berlin-Reinickendorf;BL-11;Organisation;Alternative für Deutschland;17738
2017-03953;2017;78;Berlin-Spandau – Charlottenburg Nord;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;41965
2017-03957;2017;78;Berlin-Spandau – Charlottenburg Nord;BL-11;Organisation;Freie Demokratische Partei;8292
2017-03954;2017;78;Berlin-Spandau – Charlottenburg Nord;BL-11;Organisation;DIE LINKE;9861
2017-03956;2017;78;Berlin-Spandau – Charlottenburg Nord;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03952;2017;78;Berlin-Spandau – Charlottenburg Nord;BL-11;Organisation;Christlich Demokratische Union Deutschlands;40372
2017-03955;2017;78;Berlin-Spandau – Charlottenburg Nord;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;8031
2017-03958;2017;78;Berlin-Spandau – Charlottenburg Nord;BL-11;Organisation;Alternative für Deutschland;17551
2017-04000;2017;79;Berlin-Steglitz-Zehlendorf;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;43801
2017-04004;2017;79;Berlin-Steglitz-Zehlendorf;BL-11;Organisation;Freie Demokratische Partei;16159
2017-04001;2017;79;Berlin-Steglitz-Zehlendorf;BL-11;Organisation;DIE LINKE;13392
2017-04003;2017;79;Berlin-Steglitz-Zehlendorf;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-03999;2017;79;Berlin-Steglitz-Zehlendorf;BL-11;Organisation;Christlich Demokratische Union Deutschlands;63085
2017-04002;2017;79;Berlin-Steglitz-Zehlendorf;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;22712
2017-04005;2017;79;Berlin-Steglitz-Zehlendorf;BL-11;Organisation;Alternative für Deutschland;14549
2017-04047;2017;80;Berlin-Charlottenburg-Wilmersdorf;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;43123
2017-04051;2017;80;Berlin-Charlottenburg-Wilmersdorf;BL-11;Organisation;Freie Demokratische Partei;14426
2017-04048;2017;80;Berlin-Charlottenburg-Wilmersdorf;BL-11;Organisation;DIE LINKE;14745
2017-04050;2017;80;Berlin-Charlottenburg-Wilmersdorf;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04046;2017;80;Berlin-Charlottenburg-Wilmersdorf;BL-11;Organisation;Christlich Demokratische Union Deutschlands;47077
2017-04049;2017;80;Berlin-Charlottenburg-Wilmersdorf;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;21286
2017-04052;2017;80;Berlin-Charlottenburg-Wilmersdorf;BL-11;Organisation;Alternative für Deutschland;11722
2017-04094;2017;81;Berlin-Tempelhof-Schöneberg;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;39380
2017-04098;2017;81;Berlin-Tempelhof-Schöneberg;BL-11;Organisation;Freie Demokratische Partei;11362
2017-04095;2017;81;Berlin-Tempelhof-Schöneberg;BL-11;Organisation;DIE LINKE;19356
2017-04097;2017;81;Berlin-Tempelhof-Schöneberg;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04093;2017;81;Berlin-Tempelhof-Schöneberg;BL-11;Organisation;Christlich Demokratische Union Deutschlands;51708
2017-04096;2017;81;Berlin-Tempelhof-Schöneberg;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;33763
2017-04099;2017;81;Berlin-Tempelhof-Schöneberg;BL-11;Organisation;Alternative für Deutschland;16188
2017-04141;2017;82;Berlin-Neukölln;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;37777
2017-04145;2017;82;Berlin-Neukölln;BL-11;Organisation;Freie Demokratische Partei;7255
2017-04142;2017;82;Berlin-Neukölln;BL-11;Organisation;DIE LINKE;23204
2017-04144;2017;82;Berlin-Neukölln;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04140;2017;82;Berlin-Neukölln;BL-11;Organisation;Christlich Demokratische Union Deutschlands;34593
2017-04143;2017;82;Berlin-Neukölln;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;15480
2017-04146;2017;82;Berlin-Neukölln;BL-11;Organisation;Alternative für Deutschland;15105
2017-04188;2017;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;29028
2017-04192;2017;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BL-11;Organisation;Freie Demokratische Partei;5263
2017-04189;2017;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BL-11;Organisation;DIE LINKE;42600
2017-04191;2017;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04187;2017;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BL-11;Organisation;Christlich Demokratische Union Deutschlands;20955
2017-04190;2017;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;45055
2017-04193;2017;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BL-11;Organisation;Alternative für Deutschland;10558
2017-04235;2017;84;Berlin-Treptow-Köpenick;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;21379
2017-04239;2017;84;Berlin-Treptow-Köpenick;BL-11;Organisation;Freie Demokratische Partei;5831
2017-04236;2017;84;Berlin-Treptow-Köpenick;BL-11;Organisation;DIE LINKE;61881
2017-04238;2017;84;Berlin-Treptow-Köpenick;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04234;2017;84;Berlin-Treptow-Köpenick;BL-11;Organisation;Christlich Demokratische Union Deutschlands;29384
2017-04237;2017;84;Berlin-Treptow-Köpenick;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;7755
2017-04240;2017;84;Berlin-Treptow-Köpenick;BL-11;Organisation;Alternative für Deutschland;23245
2017-04282;2017;85;Berlin-Marzahn-Hellersdorf;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;17172
2017-04286;2017;85;Berlin-Marzahn-Hellersdorf;BL-11;Organisation;Freie Demokratische Partei;4852
2017-04283;2017;85;Berlin-Marzahn-Hellersdorf;BL-11;Organisation;DIE LINKE;46782
2017-04285;2017;85;Berlin-Marzahn-Hellersdorf;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04281;2017;85;Berlin-Marzahn-Hellersdorf;BL-11;Organisation;Christlich Demokratische Union Deutschlands;30480
2017-04284;2017;85;Berlin-Marzahn-Hellersdorf;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;4440
2017-04287;2017;85;Berlin-Marzahn-Hellersdorf;BL-11;Organisation;Alternative für Deutschland;28167
2017-04329;2017;86;Berlin-Lichtenberg;BL-11;Organisation;Sozialdemokratische Partei Deutschlands;20720
2017-04333;2017;86;Berlin-Lichtenberg;BL-11;Organisation;Freie Demokratische Partei;5018
2017-04330;2017;86;Berlin-Lichtenberg;BL-11;Organisation;DIE LINKE;51249
2017-04332;2017;86;Berlin-Lichtenberg;BL-11;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04328;2017;86;Berlin-Lichtenberg;BL-11;Organisation;Christlich Demokratische Union Deutschlands;28905
2017-04331;2017;86;Berlin-Lichtenberg;BL-11;Organisation;BÜNDNIS 90/DIE GRÜNEN;8609
2017-04334;2017;86;Berlin-Lichtenberg;BL-11;Organisation;Alternative für Deutschland;23119
2017-04423;2017;87;Aachen I;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;45309
2017-04427;2017;87;Aachen I;BL-05;Organisation;Freie Demokratische Partei;10232
2017-04424;2017;87;Aachen I;BL-05;Organisation;DIE LINKE;12282
2017-04426;2017;87;Aachen I;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04422;2017;87;Aachen I;BL-05;Organisation;Christlich Demokratische Union Deutschlands;47011
2017-04425;2017;87;Aachen I;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;13104
2017-04428;2017;87;Aachen I;BL-05;Organisation;Alternative für Deutschland;7817
2017-04470;2017;88;Aachen II;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;63135
2017-04474;2017;88;Aachen II;BL-05;Organisation;Freie Demokratische Partei;11038
2017-04471;2017;88;Aachen II;BL-05;Organisation;DIE LINKE;8785
2017-04473;2017;88;Aachen II;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04469;2017;88;Aachen II;BL-05;Organisation;Christlich Demokratische Union Deutschlands;62405
2017-04472;2017;88;Aachen II;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;7782
2017-04475;2017;88;Aachen II;BL-05;Organisation;Alternative für Deutschland;15114
2017-04517;2017;89;Heinsberg;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;39301
2017-04521;2017;89;Heinsberg;BL-05;Organisation;Freie Demokratische Partei;9334
2017-04518;2017;89;Heinsberg;BL-05;Organisation;DIE LINKE;6424
2017-04520;2017;89;Heinsberg;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04516;2017;89;Heinsberg;BL-05;Organisation;Christlich Demokratische Union Deutschlands;64121
2017-04519;2017;89;Heinsberg;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;6964
2017-04522;2017;89;Heinsberg;BL-05;Organisation;Alternative für Deutschland;11652
2017-04564;2017;90;Düren;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;47543
2017-04568;2017;90;Düren;BL-05;Organisation;Freie Demokratische Partei;8788
2017-04565;2017;90;Düren;BL-05;Organisation;DIE LINKE;6611
2017-04567;2017;90;Düren;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04563;2017;90;Düren;BL-05;Organisation;Christlich Demokratische Union Deutschlands;62711
2017-04566;2017;90;Düren;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;8235
2017-04569;2017;90;Düren;BL-05;Organisation;Alternative für Deutschland;13404
2017-04611;2017;91;Rhein-Erft-Kreis I;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;58792
2017-04615;2017;91;Rhein-Erft-Kreis I;BL-05;Organisation;Freie Demokratische Partei;17648
2017-04612;2017;91;Rhein-Erft-Kreis I;BL-05;Organisation;DIE LINKE;8590
2017-04614;2017;91;Rhein-Erft-Kreis I;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04610;2017;91;Rhein-Erft-Kreis I;BL-05;Organisation;Christlich Demokratische Union Deutschlands;74207
2017-04613;2017;91;Rhein-Erft-Kreis I;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;10354
2017-04616;2017;91;Rhein-Erft-Kreis I;BL-05;Organisation;Alternative für Deutschland;17113
2017-04658;2017;92;Euskirchen – Rhein-Erft-Kreis II;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;48592
2017-04662;2017;92;Euskirchen – Rhein-Erft-Kreis II;BL-05;Organisation;Freie Demokratische Partei;18316
2017-04659;2017;92;Euskirchen – Rhein-Erft-Kreis II;BL-05;Organisation;DIE LINKE;10835
2017-04661;2017;92;Euskirchen – Rhein-Erft-Kreis II;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04657;2017;92;Euskirchen – Rhein-Erft-Kreis II;BL-05;Organisation;Christlich Demokratische Union Deutschlands;79493
2017-04660;2017;92;Euskirchen – Rhein-Erft-Kreis II;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;10689
2017-04663;2017;92;Euskirchen – Rhein-Erft-Kreis II;BL-05;Organisation;Alternative für Deutschland;17650
2017-04705;2017;93;Köln I;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;42799
2017-04709;2017;93;Köln I;BL-05;Organisation;Freie Demokratische Partei;10652
2017-04706;2017;93;Köln I;BL-05;Organisation;DIE LINKE;11898
2017-04708;2017;93;Köln I;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04704;2017;93;Köln I;BL-05;Organisation;Christlich Demokratische Union Deutschlands;43683
2017-04707;2017;93;Köln I;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;13535
2017-04710;2017;93;Köln I;BL-05;Organisation;Alternative für Deutschland;11952
2017-04752;2017;94;Köln II;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;52880
2017-04756;2017;94;Köln II;BL-05;Organisation;Freie Demokratische Partei;17816
2017-04753;2017;94;Köln II;BL-05;Organisation;DIE LINKE;15704
2017-04755;2017;94;Köln II;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04751;2017;94;Köln II;BL-05;Organisation;Christlich Demokratische Union Deutschlands;68657
2017-04754;2017;94;Köln II;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;28716
2017-04757;2017;94;Köln II;BL-05;Organisation;Alternative für Deutschland;9057
2017-04799;2017;95;Köln III;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;48148
2017-04803;2017;95;Köln III;BL-05;Organisation;Freie Demokratische Partei;10599
2017-04800;2017;95;Köln III;BL-05;Organisation;DIE LINKE;14431
2017-04802;2017;95;Köln III;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04798;2017;95;Köln III;BL-05;Organisation;Christlich Demokratische Union Deutschlands;41106
2017-04801;2017;95;Köln III;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;19621
2017-04804;2017;95;Köln III;BL-05;Organisation;Alternative für Deutschland;11249
2017-04846;2017;96;Bonn;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;62377
2017-04850;2017;96;Bonn;BL-05;Organisation;Freie Demokratische Partei;18724
2017-04847;2017;96;Bonn;BL-05;Organisation;DIE LINKE;10193
2017-04849;2017;96;Bonn;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04845;2017;96;Bonn;BL-05;Organisation;Christlich Demokratische Union Deutschlands;57330
2017-04848;2017;96;Bonn;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;15056
2017-04851;2017;96;Bonn;BL-05;Organisation;Alternative für Deutschland;10882
2017-04893;2017;97;Rhein-Sieg-Kreis I;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;49988
2017-04897;2017;97;Rhein-Sieg-Kreis I;BL-05;Organisation;Freie Demokratische Partei;18768
2017-04894;2017;97;Rhein-Sieg-Kreis I;BL-05;Organisation;DIE LINKE;14684
2017-04896;2017;97;Rhein-Sieg-Kreis I;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04892;2017;97;Rhein-Sieg-Kreis I;BL-05;Organisation;Christlich Demokratische Union Deutschlands;79987
2017-04895;2017;97;Rhein-Sieg-Kreis I;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;11762
2017-04898;2017;97;Rhein-Sieg-Kreis I;BL-05;Organisation;Alternative für Deutschland;0
2017-04940;2017;98;Rhein-Sieg-Kreis II;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;39246
2017-04944;2017;98;Rhein-Sieg-Kreis II;BL-05;Organisation;Freie Demokratische Partei;14491
2017-04941;2017;98;Rhein-Sieg-Kreis II;BL-05;Organisation;DIE LINKE;9543
2017-04943;2017;98;Rhein-Sieg-Kreis II;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04939;2017;98;Rhein-Sieg-Kreis II;BL-05;Organisation;Christlich Demokratische Union Deutschlands;80441
2017-04942;2017;98;Rhein-Sieg-Kreis II;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;13643
2017-04945;2017;98;Rhein-Sieg-Kreis II;BL-05;Organisation;Alternative für Deutschland;14592
2017-04987;2017;99;Oberbergischer Kreis;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;41305
2017-04991;2017;99;Oberbergischer Kreis;BL-05;Organisation;Freie Demokratische Partei;12123
2017-04988;2017;99;Oberbergischer Kreis;BL-05;Organisation;DIE LINKE;7999
2017-04990;2017;99;Oberbergischer Kreis;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-04986;2017;99;Oberbergischer Kreis;BL-05;Organisation;Christlich Demokratische Union Deutschlands;67603
2017-04989;2017;99;Oberbergischer Kreis;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;9489
2017-04992;2017;99;Oberbergischer Kreis;BL-05;Organisation;Alternative für Deutschland;15648
2017-05034;2017;100;Rheinisch-Bergischer Kreis;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;42098
2017-05038;2017;100;Rheinisch-Bergischer Kreis;BL-05;Organisation;Freie Demokratische Partei;27049
2017-05035;2017;100;Rheinisch-Bergischer Kreis;BL-05;Organisation;DIE LINKE;8409
2017-05037;2017;100;Rheinisch-Bergischer Kreis;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-05033;2017;100;Rheinisch-Bergischer Kreis;BL-05;Organisation;Christlich Demokratische Union Deutschlands;68948
2017-05036;2017;100;Rheinisch-Bergischer Kreis;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;11846
2017-05039;2017;100;Rheinisch-Bergischer Kreis;BL-05;Organisation;Alternative für Deutschland;12476
2017-05081;2017;101;Leverkusen – Köln IV;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;59373
2017-05085;2017;101;Leverkusen – Köln IV;BL-05;Organisation;Freie Demokratische Partei;10114
2017-05082;2017;101;Leverkusen – Köln IV;BL-05;Organisation;DIE LINKE;9430
2017-05084;2017;101;Leverkusen – Köln IV;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-05080;2017;101;Leverkusen – Köln IV;BL-05;Organisation;Christlich Demokratische Union Deutschlands;47272
2017-05083;2017;101;Leverkusen – Köln IV;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;8722
2017-05086;2017;101;Leverkusen – Köln IV;BL-05;Organisation;Alternative für Deutschland;13408
2017-05128;2017;102;Wuppertal I;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;46657
2017-05132;2017;102;Wuppertal I;BL-05;Organisation;Freie Demokratische Partei;12910
2017-05129;2017;102;Wuppertal I;BL-05;Organisation;DIE LINKE;13120
2017-05131;2017;102;Wuppertal I;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-05127;2017;102;Wuppertal I;BL-05;Organisation;Christlich Demokratische Union Deutschlands;43814
2017-05130;2017;102;Wuppertal I;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;10987
2017-05133;2017;102;Wuppertal I;BL-05;Organisation;Alternative für Deutschland;16339
2017-05175;2017;103;Solingen – Remscheid – Wuppertal II;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;49863
